codigo_ibge,municipio,uf,area_municipal_equal_area_km2,area_contato_direto_st_km2,area_contato_composto_stn_km2,area_contato_total_cerrado_caatinga_km2,percentual_contato_total_cerrado_caatinga
3154507,Riacho dos Machados,MG,1315.539704,0.000000,0.000000,0.000000,0.000000
3155108,Rio do Prado,MG,479.815012,0.000000,0.000000,0.000000,0.000000
3155603,Rio Pardo de Minas,MG,3117.674920,0.000000,0.000000,0.000000,0.000000
3156007,Rio Vermelho,MG,986.561334,0.000000,0.000000,0.000000,0.000000
3156502,Rubelita,MG,1110.294544,0.000000,0.000000,0.000000,0.000000
3156601,Rubim,MG,965.173954,0.000000,0.000000,0.000000,0.000000
3156809,Sabinópolis,MG,919.810786,0.000000,0.000000,0.000000,0.000000
3157005,Salinas,MG,1862.116991,0.000000,0.000000,0.000000,0.000000
3157104,Salto da Divisa,MG,938.008153,0.000000,0.000000,0.000000,0.000000
3157252,Santa Bárbara do Leste,MG,107.402169,0.000000,0.000000,0.000000,0.000000
3157377,Santa Cruz de Salinas,MG,589.607298,0.000000,0.000000,0.000000,0.000000
3157500,Santa Efigênia de Minas,MG,131.965368,0.000000,0.000000,0.000000,0.000000
3157609,Santa Fé de Minas,MG,2917.448495,0.000000,0.000000,0.000000,0.000000
3157658,Santa Helena de Minas,MG,276.432556,0.000000,0.000000,0.000000,0.000000
3158102,Santa Maria do Salto,MG,440.604998,0.000000,0.000000,0.000000,0.000000
3158201,Santa Maria do Suaçuí,MG,624.047444,0.000000,0.000000,0.000000,0.000000
3159357,Santa Rita de Minas,MG,68.152752,0.000000,0.000000,0.000000,0.000000
3159506,Santa Rita do Itueto,MG,485.081425,0.000000,0.000000,0.000000,0.000000
3160207,Santo Antônio do Itambé,MG,305.736734,0.000000,0.000000,0.000000,0.000000
3160306,Santo Antônio do Jacinto,MG,503.706470,0.000000,0.000000,0.000000,0.000000
3160454,Santo Antônio do Retiro,MG,796.290028,0.000000,0.000000,0.000000,0.000000
3160959,São Domingos das Dores,MG,60.865378,0.000000,0.000000,0.000000,0.000000
3161056,São Félix de Minas,MG,162.560055,0.000000,0.000000,0.000000,0.000000
3161106,São Francisco,MG,3308.099938,89.772101,0.000000,89.772101,2.713706
3161601,São Geraldo da Piedade,MG,152.335891,0.000000,0.000000,0.000000,0.000000
3161650,São Geraldo do Baixio,MG,280.954472,0.000000,0.000000,0.000000,0.000000
3162252,São João da Lagoa,MG,998.014645,0.000000,0.000000,0.000000,0.000000
3162401,São João da Ponte,MG,1851.102119,0.000000,0.000000,0.000000,0.000000
3162450,São João das Missões,MG,678.273636,0.000000,0.000000,0.000000,0.000000
3162575,São João do Manteninha,MG,137.926632,0.000000,0.000000,0.000000,0.000000
3162658,São João do Pacuí,MG,415.921719,0.000000,0.000000,0.000000,0.000000
3162708,São João do Paraíso,MG,1925.575444,0.000000,15.197838,15.197838,0.789262
3162807,São João Evangelista,MG,478.183156,0.000000,0.000000,0.000000,0.000000
3163003,São José da Safira,MG,213.880811,0.000000,0.000000,0.000000,0.000000
3163300,São José do Divino,MG,328.703874,0.000000,0.000000,0.000000,0.000000
3163508,São José do Jacuri,MG,345.145736,0.000000,0.000000,0.000000,0.000000
3164100,São Pedro do Suaçuí,MG,308.105856,0.000000,0.000000,0.000000,0.000000
3164209,São Romão,MG,2434.003996,0.000000,0.000000,0.000000,0.000000
3164472,São Sebastião do Anta,MG,80.617688,0.000000,0.000000,0.000000,0.000000
3164506,São Sebastião do Maranhão,MG,517.829724,0.000000,0.000000,0.000000,0.000000
3165503,Sardoá,MG,141.903728,0.000000,0.000000,0.000000,0.000000
3165552,Setubinha,MG,534.655072,0.000000,0.000000,0.000000,0.000000
3165909,Senador Modestino Gonçalves,MG,952.068042,0.000000,0.000000,0.000000,0.000000
3166105,Senhora do Porto,MG,381.328023,0.000000,0.000000,0.000000,0.000000
3166501,Serra Azul de Minas,MG,218.594720,0.000000,0.000000,0.000000,0.000000
3166709,Serra dos Aimorés,MG,213.573068,0.000000,0.000000,0.000000,0.000000
3166956,Serranópolis de Minas,MG,551.954074,0.000000,0.000000,0.000000,0.000000
3167103,Serro,MG,1217.813220,0.000000,0.000000,0.000000,0.000000
3167707,Sobrália,MG,206.786563,0.000000,0.000000,0.000000,0.000000
3168002,Taiobeiras,MG,1220.045515,0.000000,0.000000,0.000000,0.000000
3168051,Taparuba,MG,193.081610,0.000000,0.000000,0.000000,0.000000
3168408,Tarumirim,MG,731.753283,0.000000,0.000000,0.000000,0.000000
3168606,Teófilo Otoni,MG,3242.269555,0.000000,0.000000,0.000000,0.000000
3169505,Tumiritinga,MG,500.072700,0.000000,0.000000,0.000000,0.000000
3169703,Turmalina,MG,1153.110671,0.000000,0.000000,0.000000,0.000000
3170008,Ubaí,MG,820.524123,0.000000,0.000000,0.000000,0.000000
3170057,Ubaporanga,MG,189.045140,0.000000,0.000000,0.000000,0.000000
3170305,Umburatiba,MG,405.834227,0.000000,0.000000,0.000000,0.000000
3170479,Uruana de Minas,MG,598.220973,0.000000,0.000000,0.000000,0.000000
3170529,Urucuia,MG,2076.942275,0.000000,0.000000,0.000000,0.000000
3170651,Vargem Grande do Rio Pardo,MG,491.512399,0.000000,0.000000,0.000000,0.000000
3170800,Várzea da Palma,MG,2220.278809,0.000000,0.000000,0.000000,0.000000
3170909,Varzelândia,MG,814.994155,0.000000,0.000000,0.000000,0.000000
3171030,Verdelândia,MG,1570.566634,0.000000,0.000000,0.000000,0.000000
3171071,Veredinha,MG,631.691501,0.000000,0.000000,0.000000,0.000000
3171501,Mathias Lobato,MG,172.294077,0.000000,0.000000,0.000000,0.000000
3171600,Virgem da Lapa,MG,868.914243,0.000000,0.000000,0.000000,0.000000
3171808,Virginópolis,MG,439.878056,0.000000,0.000000,0.000000,0.000000
3171907,Virgolândia,MG,281.022379,0.000000,0.000000,0.000000,0.000000
